actual,exp,variation,lr_h,exp_t,lod,orient,Series,series
4.3,4.165,0.135,0.05,2,13,X,1,1X
4.3,4.122,0.178,0.05,2,13,Y,1,1Y
4.3,4.148,0.152,0.05,2,13,Z,1,1Z
4.3,4.14,0.16,0.05,2.5,13,X,2,2X
4.3,4.102,0.198,0.05,2.5,13,Y,2,2Y
4.3,4.07,0.23,0.05,2.5,13,Z,2,2Z
4.3,4.124,0.176,0.05,2.25,12,X,3,3X
4.3,4.077,0.223,0.05,2.25,12,Y,3,3Y
4.3,4.077,0.223,0.05,2.25,12,Z,3,3Z
4.3,4.104,0.196,0.05,2.25,14,X,4,4X
4.3,4.145,0.155,0.05,2.25,14,Y,4,4Y
4.3,4.136,0.164,0.05,2.25,14,Z,4,4Z
4.3,4.128,0.172,0.1,2,13,X,5,5X
4.3,4.095,0.205,0.1,2,13,Y,5,5Y
4.3,4.127,0.173,0.1,2,13,Z,5,5Z
4.3,4.15,0.15,0.1,2.5,13,X,6,6X
4.3,4.03,0.27,0.1,2.5,13,Y,6,6Y
4.3,4.161,0.139,0.1,2.5,13,Z,6,6Z
4.3,4.15,0.15,0.1,2.25,12,X,7,7X
4.3,4.07,0.23,0.1,2.25,12,Y,7,7Y
4.3,3.885,0.415,0.1,2.25,12,Z,7,7Z
4.3,4.162,0.138,0.1,2.25,14,X,8,8X
4.3,4.142,0.158,0.1,2.25,14,Y,8,8Y
4.3,4.151,0.149,0.1,2.25,14,Z,8,8Z
4.3,4.097,0.203,0.075,2,12,X,9,9X
4.3,4.1,0.2,0.075,2,12,Y,9,9Y
4.3,4.161,0.139,0.075,2,12,Z,9,9Z
4.3,4.12,0.18,0.075,2,14,X,10,10X
4.3,4,0.3,0.075,2,14,Y,10,10Y
4.3,4.121,0.179,0.075,2,14,Z,10,10Z
4.3,4.185,0.115,0.075,2.25,13,X,11,11X
4.3,4.115,0.185,0.075,2.25,13,X,11,11X
4.3,4.198,0.102,0.075,2.25,13,X,11,11X
4.3,4.202,0.098,0.075,2.25,13,Y,11,11Y
4.3,4.184,0.116,0.075,2.25,13,Y,11,11Y
4.3,4.225,0.075,0.075,2.25,13,Y,11,11Y
4.3,4.2,0.1,0.075,2.25,13,Z,11,11Z
4.3,4.128,0.172,0.075,2.25,13,Z,11,11Z
4.3,4.17,0.13,0.075,2.25,13,Z,11,11Z
4.3,4.172,0.128,0.075,2.5,12,X,12,12X
4.3,4.13,0.17,0.075,2.5,12,Y,12,12Y
4.3,4.165,0.135,0.075,2.5,12,Z,12,12Z
4.3,4.19,0.11,0.075,2.5,14,X,13,13X
4.3,4.13,0.17,0.075,2.5,14,Y,13,13Y
4.3,4.16,0.14,0.075,2.5,14,Z,13,13Z
