actual,exp,variation,Layer Height (µm,Exposure Time (sec.),Light off Display (sec.),Orientation,Series,series
12,11.94,-0.06,0.05,2,13,X,1,1X
12,12.15,0.15,0.05,2,13,Y,1,1Y
12,11.92,-0.08,0.05,2,13,Z,1,1Z
12,11.94,-0.06,0.05,2.5,13,X,2,2X
12,12,0.00,0.05,2.5,13,Y,2,2Y
12,12.08,0.08,0.05,2.5,13,Z,2,2Z
12,11.97,-0.03,0.05,2.25,12,X,3,3X
12,12.05,0.05,0.05,2.25,12,Y,3,3Y
12,12.07,0.07,0.05,2.25,12,Z,3,3Z
12,12,0.00,0.05,2.25,14,X,4,4X
12,12.08,0.08,0.05,2.25,14,Y,4,4Y
12,12.07,0.07,0.05,2.25,14,Z,4,4Z
12,12.01,0.01,0.1,2,13,X,5,5X
12,12.06,0.06,0.1,2,13,Y,5,5Y
12,12.08,0.08,0.1,2,13,Z,5,5Z
12,12.03,0.03,0.1,2.5,13,X,6,6X
12,11.98,-0.02,0.1,2.5,13,Y,6,6Y
12,12.14,0.14,0.1,2.5,13,Z,6,6Z
12,11.96,-0.04,0.1,2.25,12,X,7,7X
12,11.98,-0.02,0.1,2.25,12,Y,7,7Y
12,12.2,0.20,0.1,2.25,12,Z,7,7Z
12,11.98,-0.02,0.1,2.25,14,X,8,8X
12,12.06,0.06,0.1,2.25,14,Y,8,8Y
12,12.07,0.07,0.1,2.25,14,Z,8,8Z
12,12.09,0.09,0.075,2,12,X,9,9X
12,11.89,-0.11,0.075,2,12,Y,9,9Y
12,11.97,-0.03,0.075,2,12,Z,9,9Z
12,12.06,0.06,0.075,2,14,X,10,10X
12,12.01,0.01,0.075,2,14,Y,10,10Y
12,12.04,0.04,0.075,2,14,Z,10,10Z
12,11.94,-0.06,0.075,2.25,13,X,11,11X
12,11.93,-0.07,0.075,2.25,13,X,11,11X
12,12.02,0.02,0.075,2.25,13,X,11,11X
12,11.93,-0.07,0.075,2.25,13,Y,11,11Y
12,12.02,0.02,0.075,2.25,13,Y,11,11Y
12,11.94,-0.06,0.075,2.25,13,Y,11,11Y
12,12.03,0.03,0.075,2.25,13,Z,11,11Z
12,11.89,-0.11,0.075,2.25,13,Z,11,11Z
12,12.03,0.03,0.075,2.25,13,Z,11,11Z
12,12.06,0.06,0.075,2.5,12,X,12,12X
12,11.97,-0.03,0.075,2.5,12,Y,12,12Y
12,11.97,-0.03,0.075,2.5,12,Z,12,12Z
12,12.09,0.09,0.075,2.5,14,X,13,13X
12,11.91,-0.09,0.075,2.5,14,Y,13,13Y
12,11.94,-0.06,0.075,2.5,14,Z,13,13Z
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
